name               ,vsname                ,extension ,root_scope           ,ids                         ,comments                                                     ,example_comment      ,reference                                                          ,notes
Batch              ,bat                   ,bat       ,source.batchfile     ,bat                         ,"rem,@rem,::bat"                                             ,REM                  ,                                                                   ,
C++                ,cpp                   ,cpp       ,source.cpp           ,"cpp,c++"                   ,"//cpp,//c++"                                                ,//cpp                ,                                                                   ,
CSS                ,css                   ,css       ,source.css           ,css                         ,/*css                                                        ,/*css*/              ,                                                                   ,
HTML               ,html                  ,html      ,text.html.derivative ,html                        ,"<!DOCTYPE,<html,<!--html"                                   ,<html>               ,                                                                   ,
INI                ,ini                   ,ini       ,source.ini           ,ini                         ,;ini                                                         ,;ini                 ,                                                                   ,
Javascript         ,javascript            ,js        ,source.js            ,"js,javascript"             ,//js                                                         ,//js                 ,                                                                   ,
JSON               ,json                  ,json      ,source.json          ,json                        ,                                                             ,                     ,                                                                   ,"JSON doesn't support comments, which makes it hard to embed into host languages that use comments to determine the embedded language"
JSONC              ,jsonc                 ,jsonc     ,source.json.comments ,jsonc                       ,//jsonc                                                      ,//jsonc              ,                                                                   ,JSONC is a variant of JSON that supports comments
Python             ,python                ,py        ,source.python        ,"py,python"                 ,#py                                                          ,#py                  ,                                                                   ,
Shell              ,shellscript           ,sh        ,source.shell         ,"sh,bash,shell,shellscript" ,"#sh,#bash,#shell,#!/bin/sh,#!/bin/bash,#!/usr/bin/env bash" ,#sh                  ,                                                                   ,
SQL                ,sql                   ,sql       ,source.sql           ,sql                         ,--sql                                                        ,--sql                ,                                                                   ,
TOML               ,toml                  ,toml      ,source.toml          ,toml                        ,#toml                                                        ,#toml                ,                                                                   ,
XML                ,xml                   ,xml       ,text.xml             ,xml                         ,"<?xml,<? xml,<!--xml"                                       ,<?xml?>              ,                                                                   ,
YAML               ,yaml                  ,yaml      ,source.yaml          ,yaml                        ,#yaml                                                        ,#yaml                ,                                                                   ,
C                  ,c                     ,c         ,source.c             ,c                           ,/*c                                                          ,/*c*/                ,                                                                   ,
HLSL               ,hlsl                  ,hlsl      ,source.hlsl          ,hlsl                        ,//hlsl                                                       ,//hlsl               ,                                                                   ,
GLSL               ,glsl                  ,glsl      ,source.glsl          ,glsl                        ,//glsl                                                       ,//glsl               ,                                                                   ,
Metal              ,metal                 ,metal     ,source.metal         ,metal                       ,//metal                                                      ,//metal              ,                                                                   ,
WGSL               ,wgsl                  ,wgsl      ,source.wgsl          ,wgsl                        ,//wgsl                                                       ,//wgsl               ,                                                                   ,
Lua                ,lua                   ,lua       ,source.lua           ,lua                         ,--lua                                                        ,--lua                ,                                                                   ,
Makefile           ,makefile              ,makefile  ,source.makefile      ,"make,makefile"             ,"#make,#makefile,#!/usr/bin/make"                            ,#makefile            ,                                                                   ,
GraphQL            ,graphql               ,gql       ,source.graphql       ,"graphql,gql"               ,"#graphql,#gql"                                              ,#graphql             ,                                                                   ,
TypeScript         ,typescript            ,ts        ,source.ts            ,"typescript,ts"             ,"//ts,//typescript"                                          ,//typescript         ,                                                                   ,
#CSV               ,csv                   ,csv       ,text.csv             ,csv                         ,                                                             ,                     ,https://github.com/mechatroner/vscode_rainbow_csv                  ,CSV doesn't work yet. The most popular syntax highlighter (Rainbow CSV) has some kind of regex that consumes past the normal end-of-string flag
LaTeX              ,latex                 ,latex     ,text.tex.latex       ,latex                       ,%latex                                                       ,%latex               ,                                                                   ,
TeX                ,tex                   ,tex       ,text.tex             ,tex                         ,%tex                                                         ,%tex                 ,                                                                   ,
Graphviz           ,dot                   ,dot       ,source.dot           ,"graphviz,dot"              ,"//graphviz,//dot"                                           ,"//graphviz,digraph" ,https://github.com/joaompinto/vscode-graphviz                      ,
#Mermaid           ,mermaid               ,mmd       ,source.mermaid       ,"mermaid,mmd"               ,"%%mermaid,%%mmd"                                            ,"%%mermaid"          ,https://github.com/bpruitt-goddard/vscode-mermaid-syntax-highlight ,Mermaid doesn't work yet. The most popular syntax highlighter (Mermaid Markdown Syntax Highligher) uses a rule that expects the code block to end in ``` and the TextMate parser overruns the normal end-of-codeblock markers looking for that.
ARM Assembly       ,arm                   ,arm       ,source.arm           ,arm                         ,"@arm,;arm"                                                  ,"@arm"               ,https://github.com/dan-c-underwood/vscode-arm                      ,
x86 / x64 Assembly ,asm-intel-x86-generic ,x86       ,source.asm.x86_64    ,"x86,x86_64,x64"            ,";x86,;x86_64,x64"                                           ,";x86"               ,https://github.com/13xforever/x86_64-assembly-vscode               ,
Handlebars         ,handlebars            ,hbs       ,text.html.handlebars ,"hbs,handlebars"            ,"/*hbs,//hbs,/*handlebars,//handlebars"                      ,/*hbs*/              ,                                                                   ,
PowerShell         ,powershell            ,ps1       ,source.powershell    ,"ps1,powershell"            ,"#ps1,#powershell"                                           ,#ps1                 ,                                                                   ,
Markdown           ,Markdown              ,md        ,text.html.markdown   ,"md,markdown"               ,"<!--md,<!--markdown"                                       ,<!--md-->             ,                                                                   ,
Go                 ,go                    ,go        ,source.go            ,"go,golang"                 ,"//go,//golang"                                             ,//go                  ,                                                                   ,
